En,Nk
through and through,샅샅이
through and through,철저히
through and through,철두철미
We were wet through and through,온몸이 흠뻑 젖었다
a through passenger,직행려객
a throughcomposed song,무절가요
throughout the country,전국도처에
throughout the country,온 나라 이르는곳마다에
throughout the length and breadth of the land,방방곡곡에
throughout the length and breadth of the land,전국 각지에
The house was searched throughout,집은 샅샅이 수색되였다
revise a dictionary throughout,사전을 전면적으로 개정하다
Today has been fine throughout,오늘은 종일 날씨가 좋았다
I threw myself upon my horse,훌쩍 말에 올라탔다
He threw himself into a chair,그는 털썩 의자에 앉았다
throw a fly,홀림낚시질을 하다
throw a punch,강타를 안기다
throw light on,에 빛을 던지다 을 환하게 하다
He threw her a quick glance,그는 힐끗 그 녀자를 쳐다보았다
throw a student out of college,학생을 퇴학시키다
throw a bridge across over the river,강에 급히 다리를 놓다
throw a pot,단지를 빚다
throw silk,명주실을 꼬다
throw a party,연회를 차리다
This problem completely threw me,이 문제에는 꼼짝할수 없었다
throw away the key,가두어넣고 내놓지 않다 종신감옥생활을 시키다
He threw up his hands in disgust,그는 진저리가 나서 두손 버쩍 들었다
a shoulder throw,어깨걸어메치기
throw of the dice,모험
thrown silk,꼰 명주실
at the first throwoff,출발 당초에
He thrust his way through the crowd,붐비는 사람들속을 밀어헤치면서 나아갔다
a thrust with a sword,검으로 한번 찌르기
I made a thrust at him,그를 찌르려고 덤벼들었다
An apple fell with a thud,사과가 뚤렁 떨어졌다
thuggish,암살의
thuggish,살인의
thuggish,폭행의
thuggism,암살
hitchhike,하기 마리후아나담배
stick out like a sore thumb,일목료연하다
stand out like a sore thumb,눈에 잘 띄다
The project was finally given the thumbs up,그 계획은 마침내 접수되였다
Her performance got the thumbs down from the critics,그의 공연은 비평가들의 배격을 받았다
thump at the door,문을 쾅쾅 두드리다
thump on a drum,북을 둥둥 치다
This is a thumping lie,이는 터무니없는 거짓말이다
thunder and lightning,벼락
thunder and lightning,우뢰와 번개
thunders of applause from the galleries,맨 웃층 일반관람석에서 나는 우뢰와 같은 갈채
Thunder By thunder,젠장
Thunder By thunder,빌어먹을
Thunder By thunder,제길할
What by thunder is that,도대체 저게 뭐야
a face like thunder,성난 얼굴
a face like thunder,노한 표정
Then heaven thundered,이어 하늘에서 꽈르릉하고 천둥이 울었다
thunder at the door,문을 부서져라 하고 쾅쾅 두드리다
Guns thundered out a salute,례포가 쾅하고 울렸다
a thunderclap of talk,우뢰소리같은 말소리
Thus much is certain,여기까지는 확실하다
Why this thusness,어째서 이 모양일가
It was thy merit,그것은 그대의 공적이였다
Know thyself,그대자신을 알라
tiara,를 씀
in a tick,인차
in a tick,곧
in a tick,순간에
it'll only take two ticks,그저 잠간이면 된다
The clock ticked away in the hall,홀의 벽시계가 계속 똑딱거리고있었다
the minutes ticked past and still she didn't call,몇분이 잘 흘렀지만 그에게서는 아직 전화가 없었다
he will tick you off if you're late again,네가 또 지각하면 그는 너를 꾸짖을거야
His impudence ticked me off,그의 뻔뻔스러움에 성이 났다
on tick,외상으로
a price ticket,가격표
a pawn ticket,전당표
on the Democratic ticket,민주당의 공인후보자로서
Whats the ticket,어쩌면 좋을가
Whats the ticket,어떻게 되였는가
a deposit ticket,예금전표
a sales ticket,판매전표
He is ticketed for the post,그 자리에 지명되여있다
I was ticket ed for speeding,속도위반으로 호출장을 받았다
ticketed passengers,표가 발급된 려객들
Everything is ticketyboo,만사가 잘되고있다
on a tickey,좁은 장소에서
He could turn his car on a tickey,좁은 곳에서도 차를 돌릴수 있다
be tickled pink be tickled to death,매우 기뻐하다
if i see something that tickles my fancy i'm going to buy it,내 마음에 드는것을 보면 그것을 사려고해
tickle the ivories,피아노를 치다
give a tickle,간지럽히다
"stickleback, minnow tadpole",작은 물고기 특히 혹은 류달리 작은것
a tiddly little pool,자그마한 수영장
ebb tide,썰물
half tide,반조
on the tide,조수를 타고
turn the tide,형세를 일변시키다
The tide of events turns,정세가 변한다
take fortune at the tide take the tide at the flood,좋은 기회를 리용하다
glad tidings,기쁜 소식
sad tidings,비보
sad tidings,슬픈 소식
a tidy room,깨끗이 정돈된 방
a tidy solution,만족할만한 해결책
a tidy sum of money,꽤 많은 금액
a tidy mind,명석한 지력
She was bonny and tidy,귀엽고 건강했다
tie a package,소포를 꿍지다
tie up a skiff,쪽배를 매여두다
be tied hand and foot,손발을 묶이우다 행동의 자유를 잃다
They were tie d by common interests,그들은 공통된 리해관계로 결합되여있었다
he's a man to tie to,그는 믿을수 있는 사나이다
Traffic was tied up until noon,교통은 한낮까지 차단되였다
tie up the arrangements for a holiday,휴식일의 준비를 다 갖추다
leave the dog tied up to a tree,개를 나무에 묶어놓다
ties of blood,혈연
the ties of marriage,결혼의 연분
They want friendly ties with Korea,그들은 조선과의 친선관계를 바라고있다
Englands World Cup tie against Argentina,잉글랜드와 아르헨띠나와의 월드컵경기
legal ties,법적구속
neatly tied package,잘 묶은 꾸레미
a tiein sale,끼워팔기
a classroom in tiers,계단식교실
the lower tier of society,사회의 하층계급
a tiered skirt,가로 단을 댄 치마
have a tiff with,와 말다툼을 하다
"Despite his wound, he still fought like a tiger",부상을 당했으나 맹호처럼 싸웠다
The jacket is rather a tight fit,웃옷이 지내 빠듯하다
She tied the rope around the post and pulled it tight,그 녀자는 말뚝에 바줄을 감아매고 팽팽하게 당기였다
His mother kept a tight hold on his hand,그의 어머니는 그의 손을 꼭 잡아쥐였다
keep tight control on immigration,입출국을 엄히 단속하다
a tight budget,긴축예산
"As usual, his schedule on Saturday was tight",여느때처럼 토요일의 그의 일정은 긴장하였다
i'm working to a very tight deadline,나는 일을 신속히 끝내야 한다
Dont be so tight,너무 린색하게 굴지 말아
She wore her hair in a tight bun,그는 단단한 다발머리로 틀었다
the tight bonds that had grown between them,그들사이에 자라난 혈연적뉴대
on a tight bend,급한 굽인돌이에서
force a tight smile,어줍은 미소를 짓다
The band gave a really tight performance,악단은 정말 훌륭한 공연을 펼치였다
get tight,취하다
"be in a tight place be in a tight corner, be in a tight spot",궁지에 빠지다
shut the door tight,문을 꽁꽁 닫다
tightassed,린색한
tightassed,융통성없는
His face muscles tightened,얼굴근육이 굳어졌다
a tightknit organization,단결된 조직
a tightrope dancer,줄타기교예배우
walk a tightrope,줄타기를 하다
in a tight spot,궁지에 몰려
a plain tile,평기와
have a tile loose,정신이 좀 이상하다
till now,지금까지
till then,그때까지
I slept till it was light,밝을 때까지 잠잤다
Do nt start till I give the word,내가 명령할 때까지 떠나지 말라
till a field of knowledge,어느 한 지식분야를 연구하다
land in tillage,부침땅
at the tiller,키를 잡고
at the tiller,지휘를 하여
The floor tilted slightly,마루가 약간 경사졌다
tilt at wrongs,나쁜 페단을 공격하다
He tilted his second cocktail,두번째 잔의 혼합술을 다 마시다
tilt an adversary,적과 싸우다
give a tilt to a barrel,통을 기울이다
on the tilt,기울어져서
have a tilt at against,론박하다
have a tilt at against,을 공격하다
tilt hammer,금속가공
a tilt at the European Cup,유럽선수권을 쟁탈하려는 시도
the tilth of the ground,토지의 경작
standing timber,선나무
a timbered building,목조건물
a timbered banqueting hall,판벽을 댄 연회장
time and space,시간과 공간
in time to come,장래에
with time,이윽고
with time,시간이 지남에 따라
for some time,얼마동안
after a time,곧
after a time,이윽하여
at any time,어느때든지
at some time,언젠가
by this time,지금쯤은
by this time,이때까지는
What time is it What time do you make it,지금 몇시입니까
Is that the time,시간이 벌써 그렇게 되다니
harvest time,가을걷이계절
of all times,고금을 통해서의
with the change of the time s,시대의 추이에 따라
good time s,호경기
as times go,현정세에서는
as times go,요즘 형편에서
as times go,시기가 시기인것만큼
In her time she was a great star,한창때에는 한다하는 인기배우였다
I have no time to spare,바빠서 짜낼 시간이 없다
curtain time,공연시작시간
at a set time,예정된 시각에
at any time,아무때나
for the first time,처음으로
Now is the time to invest,지금이야말로 투자할 좋은 기회이다
Its time for the news now,보도시간이다
there's no time like the present,지금과 같은 좋은 기회는 없다
this is the first time i've been here,여기에 온것은 이번이 처음입니다
each time,매번
each time,매회
times out of number,이루 셀수 없을만큼 여러번
He has now served his time,도제살이기간이 끝났다
He served his full time,형기를 다 마쳤다
beat time,박자를 맞추다
quick time,속보
slow time,평보
It is about time I came clean and admitted it,내가 깨끗이 털어놓고 인정할 때이다
against time,전속력으로
at all times,언제나
at all times,항상
at times,때때로
at times,가끔
before time,때가 되기전에
before time,때이르게 명을 다 살지 못하고
before time,달이 못차서
behind the times,시대에 뒤떨어져서
do time,형기를 치르다
every time,매번 언제나
every time,례외없이
every time,반드시
for the time being,당분간
from time to time,때때로
from time to time,가끔
good old times,그리운 옛날
half the time,자주
half the time,거의 언제나
half the time,대체로
have a good time,즐겁게 지내다
have a good time,유쾌히 보내다
He has no time for people who talk too much,그는 말을 지내 많이 하는 사람들을 좋아하지 않는다
have the time,시간이 있다
Well be at the airport in good time,우리는 비행장에 일찌기 도착하게 될것입니다
in time,때를 기다리면
in time,조만간에
in time,멀지 않아
Its only a matter of time before we catch the person who killed her,언젠가는 그를 죽인 놈을 잡게 될것이다
kill time,소일하다
kill time,심심풀이를 하다
know the time of day,만사를 다 알고있다
most of the time,흔히
most of the time,거의 내내
not before time,겨우
not before time,거의 때를 놓친 늦은 편으로
if I had my time over again,만약 내가 생을 다시 산다면
on time,제시간에 시간을 어기지 않고
arrive on time,정각에 도착하다
Be on time,시간을 지키시오
out of time,너무 늦어서
over time,오랜 기간에
race against time,시간을 다투며 일하다
work against time,시간을 다투며 일하다
battle against time,시간을 다투며 일하다
take time off,쉬다
take time off,시간을 받다
There is a time for everything,무슨 일이나 때가 있는 법이다
there's no time to lose,꾸물거릴 시간이 없다
time after time,자주
time and again,종종 여러번
time and time again,루차
time and time again,재삼
Times change,시대는 변한다
time of life,나이
time of life,년령
at your time of life,너의 나이때에는
with time to spare,시간의 여유를 가지고
with time to spare,예정보다 빨리
punch a time clock,시간기록시계를 누르다
an accurate timekeeper,정확한 시계
timelapse photography,저속도촬영사진
time draft,금융
take time off,휴식하다
call for a timeout,타임아우트를 요구하다
first timers,처음으로 하는 사람들
write to the Times,타임스지에 투고하여 여론에 호소하다
timeserved experts,견습과정을 거친 숙련공들
He is timid of praise,칭찬을 받기 수집어한다
a girl with timid eyes,겁에 질린 눈을 한 소녀
a cry of tin tin cry,함석을 휠 때 나는 소리
have a tin ear,귀가 꽉 메다 음치이다
burn like tinder,맹렬히 타다
His cheek was tinge d with colour,그의 뺨에는 홍조가 피여올랐다
a tinge of red,불그스레한 색갈
autumnal tints,가을빛
tinted paper,색종이
tinted spectacles,색안경
the orange tinted sky,오렌지색의 하늘
little tiny tiny little,조꼬마한
from tip to toe,끝에서 끝까지
tip missiles with nuclear warheads,미싸일에 핵탄두를 설치하다
The boat tipped over,뽀트가 뒤집혔다
That sort never tip,저런 사람들은 팁을 줄줄 모른다
He gave me a tip on the shoulder,나의 어깨를 툭 쳤다
It tipples down It is tippleing down,비가 억수로 퍼붓다
get tipsy,취하다
the tiptop of the mast,돛대의 꼭대기
feel tired,피로를 느끼다
sick and tired of,에 아주 진저리가 나서
tired blood,무기력
face tissue,화장용지
toilet tissue,위생지
to a tittle,정확히
to a tittle,꼭
trinitrotoluene,폭약
trinitrotoluol,폭약
go to the north,북쪽으로 가다
He returned to Pyongyang,평양에 돌아왔다
To arms,전투준비
To arms,무기를 잡으라
All hands to work,전원 작업착수
turn to the right,오른쪽으로 돌다
turn to the right,오른쪽으로 향하다
The house opens to the south,그 집은 남향이다
stand to attention,차렷자세를 취하다
be rotten to the core,속까지 썩다
to the full,완전히
to the full,마음껏
to the full,충분히
from Saturday to Monday,토요일부터 월요일까지
from day to day,련일
from month to month,매달매달
to that end,그 목적을 위하여
to the end that,을 위하여
apply soap to a towel,수건에 비누칠하다
known to the world,세상에 알려져서
necessary to education,교육에 필요한
a son born to him,그에게 생긴 아들
attend to the business,일에 달라붙다
add A to B A B,를 에 더하다
It belongs to me,그것은 내것입니다
be attached to,에 애착을 느끼다
I sat down to table,식탁에 마주앉았다
face to face,코를 맞대고
confess to a crime,죄를 저질렀다고 자백하다
he's to home,그는 집에 있다
I like to think so,그렇게 생각하고싶다
a house to let,세집
water to drink,음료수
I am sorry to hear that,그것 참 안되였습니다
She is beautiful to look at,보기에 아름답다
I asked him to come in,그에게 들어오라고 말했다
Make him repeat it,그에게 그것을 되풀이하게 하시오
Help him lift it,그것을 들어올리는것을 도와주라구
To see is to believe,백번 듣는것보다 한번 보는것이 낫다
bring a ship to,배에 정지명령을 내리다
Is the door to,문이 닫겼는가
The door crashed to,문이 쾅 닫겼다
fall to,먹기 시작하다 서로 때리기 시작하다
The accident occurred close to,사고는 바로 가까이에서 일어났다
I ordered the horses to,말을 마차에 메우라고 명령했다
The horses are to,말은 마차에 메워져있다
I was watching the crowd passing to and fro,나는 군중이 좌왕우왕하는것을 보고있었다
make toast,토스트를 만들다
be toast,죽다
be toast,끝장이다
One mistake and you re toast,한번만 더 잘못하면 끝장이야
drink a toast,축배를 들다
He found himself the toast of the football world,그는 축구계의 소문난 선수였다
toast each others health,서로의 건강을 위하여 축배를 들다
swear off tobacco,맹세하고 담배를 끊다
give up tobacco,담배를 끊다
Kentucky,미국 주의 속칭
a bride tobe,신부가 될 사람
